id;parent_id;name
45477;;Grammar
493;489;from floor, ceiling produce 一 
494;489;from human legs produce Symbol
495;489;from mouth produce 口 
291;;Alphabets
496;489;from top hat produce Symbol
497;489;from animal legs produce Symbol
292;291;Kana
498;489;from diced, cut produce 七 
499;489;from baseball team, baseball, nine produce 九 
500;489;from ten, needle produce 十 
501;489;from sun, day, tongue wagging in the mouth produce 日 
502;489;from moon, flesh, part of the body produce 月 
503;489;from rice field, brains produce 田 
504;489;from eye, eyeball produce 目 
505;489;from old produce 古 
506;489;from sunflower, early produce 早 
507;489;from walking stick produce Symbol
508;489;from a drop of produce Symbol
509;489;from oneself, nose, nostrils produce 自 
345;294;from あ produce a
510;489;from white, white bird, dove, bird produce 白 
511;489;from fat man, round baseball player produce 丸 
512;489;from glue, glued to produce 寸 
513;489;from acupuncturist produce 博 
514;489;from divining rod produce Symbol
515;489;from mist produce Symbol
346;294;from か produce ka
516;489;from wind produce Symbol
517;489;from bound up produce Symbol
518;489;from horns produce Symbol
519;489;from shells, oyster, clam produce 貝 
520;489;from head produce 頁 
521;489;from fishhook produce 乙 
522;489;from tool produce Symbol
523;489;from by ones side produce Symbol
524;489;from craft, I beam, artificial produce 工 
525;489;from dagger, saber produce 刀 
526;489;from seduce produce 召 
527;489;from wealth produce Symbol
347;294;from た produce ta
348;294;from さ produce sa
349;294;from は produce ha
350;294;from な produce na
351;294;from ら produce ra
352;294;from わ produce wa
353;294;from ま produce ma
354;294;from や produce ya
355;294;from え produce e
356;294;from せ produce se
357;294;from け produce ke
358;294;from て produce te
359;294;from へ produce he
360;294;from ね produce ne
361;294;from れ produce re
362;294;from め produce me
363;294;from う produce u
364;294;from く produce ku
365;294;from す produce su
366;294;from つ produce tsu
367;294;from ふ produce fu
368;294;from ぬ produce nu
369;294;from る produce ru
370;294;from む produce mu
371;294;from ゆ produce yu
372;294;from お produce o
373;294;from こ produce ko
374;294;from そ produce so
375;294;from と produce to
376;294;from ほ produce ho
377;294;from の produce no
378;294;from ろ produce ro
379;294;from を produce wo
380;294;from も produce mo
381;294;from よ produce yo
382;294;from い produce i
383;294;from き produce ki
384;294;from ち produce chi
385;294;from し produce shi
386;294;from ひ produce hi
387;294;from に produce ni
388;294;from り produce ri
389;294;from み produce mi
390;294;from ん produce n
299;294;from a produce あ
300;294;from ka produce か
301;294;from ta produce た
302;294;from sa produce さ
303;294;from ha produce は
304;294;from na produce な
305;294;from ra produce ら
306;294;from wa produce わ
307;294;from ma produce ま
308;294;from ya produce や
309;294;from e produce え
310;294;from se produce せ
311;294;from ke produce け
312;294;from te produce て
313;294;from he produce へ
314;294;from ne produce ね
315;294;from re produce れ
316;294;from me produce め
317;294;from u produce う
318;294;from ku produce く
319;294;from su produce す
320;294;from tsu produce つ
321;294;from fu produce ふ
322;294;from nu produce ぬ
323;294;from ru produce る
324;294;from mu produce む
325;294;from yu produce ゆ
326;294;from o produce お
327;294;from ko produce こ
328;294;from so produce そ
329;294;from to produce と
330;294;from ho produce ほ
331;294;from no produce の
332;294;from ro produce ろ
333;294;from wo produce を
334;294;from mo produce も
335;294;from yo produce よ
336;294;from i produce い
337;294;from ki produce き
338;294;from chi produce ち
339;294;from shi produce し
340;294;from hi produce ひ
341;294;from ni produce に
342;294;from ri produce り
343;294;from mi produce み
344;294;from n produce ん
391;295;from ア produce a
393;295;from カ produce ka
395;295;from タ produce ta
397;295;from サ produce sa
528;489;from nail, spike, street produce 丁 
399;295;from ハ produce ha
529;489;from child produce 子 
401;295;from ナ produce na
530;489;from woman produce 女 
403;295;from ラ produce ra
531;489;from breasts produce 母 
405;295;from ワ produce wa
532;489;from teenager, legs produce 兄 
407;295;from マ produce ma
533;489;from little produce 小 
534;489;from large dog, St. Bernard dog produce 大 
409;295;from ヤ produce ya
411;295;from エ produce e
413;295;from セ produce se
535;489;from cliff produce Symbol
415;295;from ケ produce ke
536;489;from evening produce 夕 
417;295;from テ produce te
537;489;from stone, stones, rocks produce 石 
419;295;from ヘ produce he
538;489;from resemblance, spark, candle, fire produce 肖 
421;295;from ネ produce ne
539;489;from stream, flood produce 川 
423;295;from レ produce re
540;489;from water produce 水 
425;295;from メ produce me
541;489;from spring, water, little produce 泉 
427;295;from ウ produce u
542;489;from soil, ground, dirt, land produce 土 
429;295;from ク produce ku
543;489;from ivy produce 圭 
431;295;from ス produce su
544;489;from fireplace, hearth, conflagration produce 火 
433;295;from ツ produce tsu
545;489;from computer, logic produce 里 
435;295;from フ produce fu
546;489;from flames, cauldron, cooking fire, oven fire produce Symbol
437;295;from ヌ produce nu
547;489;from hood produce Symbol
439;295;from ル produce ru
548;489;from monks produce 同 
441;295;from ム produce mu
549;489;from house produce Symbol
443;295;from ユ produce yu
550;489;from tree, wood, pole, wooden pole produce 木 
445;295;from オ produce o
551;489;from flower produce Symbol
447;295;from コ produce ko
552;489;from graveyard produce Symbol
449;295;from ソ produce so
553;489;from portent produce 兆 
451;295;from ト produce to
554;489;from turtle produce Symbol
453;295;from ホ produce ho
555;489;from chihuahua produce 犬 
455;295;from ノ produce no
556;489;from pack of dogs produce Symbol
457;295;from ロ produce ro
557;489;from cow produce 牛 
459;295;from ヲ produce wo
558;489;from umbrella produce Symbol
461;295;from モ produce mo
559;489;from meeting produce Symbol
463;295;from ヨ produce yo
560;489;from king, scepter produce 王 
465;295;from イ produce i
561;489;from jewel, ball produce 玉 
467;295;from キ produce ki
562;489;from candlestick produce 主 
469;295;from チ produce chi
563;489;from gold, metal produce 金 
471;295;from シ produce shi
564;489;from road produce Symbol
473;295;from ヒ produce hi
475;295;from ニ produce ni
477;295;from リ produce ri
479;295;from ミ produce mi
481;295;from ン produce n
392;295;from a produce ア
394;295;from ka produce カ
396;295;from ta produce タ
398;295;from sa produce サ
400;295;from ha produce ハ
402;295;from na produce ナ
404;295;from ra produce ラ
406;295;from wa produce ワ
408;295;from ma produce マ
