一;
二;
三;
四;pent in, human legs
五;
六;top hat, animal legs
七;diced
八;
九;baseball
十;needle
口;
日;sun
月;moon, flesh, part of the body
田;brains
目;
古;tombstone, gravestone, church, ten, needle, mouth
吾;five, mouth
冒;sun, day, eye
朋;moon, month, flesh, part of the body
明;sun, day, moon, month, flesh, part of the body
唱;mouth, prosperous, sun, day, tongue wagging
晶;day, sun
品;mouth
呂;mouth, drop
昌;sun, day
早;sunflower, sun, day, ten, needle
旭;nine, baseball, sun, day
世;ten, twenty
胃;rice field, brains, moon, month, flesh, part of the body
旦;sun, one, floor
胆;gallbladder, moon, month, flesh, part of the body, nightbreak, sun, day, one, floor
亘;one, ceiling, sun, day, one, floor
凹;
凸;
旧;stick, sun, day
自;drop, eye
白;drop, sun, day
百;one, ceiling, white, dove
中;stick, mouth
千;drop, ten, needle
舌;thousand, drop, ten, needle, mouth
升;thousand, drop, ten, needle
昇;sun, day, measuring box, thousand, drop, ten, needle
丸;drop, nine, baseball
寸;glue, drop, ten with a hook
肘;moon, month, flesh, part of the body, glue
専;ten, needle, rice field, brains, glue
博;ten, needle, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue
占;magic wand, augury, divining rod, mouth
上;magic wand, augury, divining rod, one, floor
下;one, ceiling, magic wand, augury, divining rod
卓;magic wand, augury, divinging rod, sunflower, sun, day, ten, needle
朝;mist, ten, needle, early, sun, day, moon, month, flesh, part of the body
嘲;mouth, morning, mist, ten, needle, early, sun, day, moon, month, flesh, part of the body
只;mouth, animal legs, eight
貝;clam, oyster, eye, animal legs, eight
唄;mouth, shellfish, clam, oyster, eye, animal legs, eight
貞;magic wand, augury, divining rod, shellfish, clam, oyster, eye, animal legs, eight
員;mouth, shellfish, clam, oyster, eye, animal legs, eight
貼;shellfish, clam, oyster, eye, animal legs, eight, fortune-telling, magic wand, augury, mouth
見;eye, human legs
児;olden times, stick, sun, day, human legs
元;two, human legs
