floor, ceiling;一
human legs;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/human%20legs.png}}
mouth;口
top hat;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/top%20hat.png}}
animal legs;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/animal%20legs.png}}
diced, cut;七
baseball team, baseball, nine;九
ten, needle;十
sun, day, tongue wagging in the mouth;日
moon, flesh, part of the body;月
rice field, brains;田
eye, eyeball;目
old;古
sunflower, early;早
walking stick;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/walking%20stick.png}}
a drop of;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/drop%20of.png}}
oneself, nose, nostrils;自
white, white bird, dove, bird;白
fat man, round baseball player;丸
glue, glued to;寸
acupuncturist;博
divining rod;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/divining%20rod.png}}
mist;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mist.png}}
wind;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/wind%3B%20weather%20vain.png}}
bound up;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/bound%20up.png}}
horns;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/horns.png}}
shells, oyster, clam;貝
head;頁
fishhook;乙
tool;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/tool.png}}
by ones side;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/by%20ones%20side.png}}
craft, I beam, artificial;工
dagger, saber;刀
seduce;召
wealth;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/wealth.png}}
nail, spike, street;丁
child;子
woman;女
breasts;母
teenager, legs;兄
little;小
large dog, St. Bernard dog;大
cliff;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/cliff.png}}
evening;夕
stone, stones, rocks;石
resemblance, spark, candle, fire;肖
stream, flood;川
water;水
spring, water, little;泉
soil, ground, dirt, land;土
ivy;圭
fireplace, hearth, conflagration;火
computer, logic;里
flames, cauldron, cooking fire, oven fire;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/fire%20alt.png}}
hood;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/hood.png}}
monks;同
house;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/house.png}}
tree, wood, pole, wooden pole;木
flower;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/flower.png}}
graveyard;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/graveyard.png}}
portent;兆
turtle;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/turtle.png}}
chihuahua;犬
pack of dogs;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/pack%20of%20dogs.png}}
cow;牛
