一;In Chinese characters, the number one is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right. [1];floor,ceiling;As a primitive element, the key-word meaning is discarded, since it is too abstract to be of much help. Instead, the single horizontal stroke takes on the meaning of _floor _or _ceiling, _depending on its position: if it stands above another primitive, it means _ceiling; _if below, _floor._
七;As with four, we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for five. [4];cut,diced;As a primitive, this form takes on the meaning of _diced, _i.e., “cut” into little pieces, consistent both with the way the character is written and with its association with the kanji for _cut _切 to be learned in a later lesson (frame 89).
九;If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for power 力 (frame 922). [2];baseball team,nine,baseball;As a primitive, we shall use this kanji to mean _baseball team_ or simply _baseball. _The meaning, of course, is derived from the _nine _players who make up a team.
十;Turn this character 45º either way and you have the X used for the Roman numeral ten. [2];needle,ten;As a primitive, this character sometimes keeps its meaning of _ten_ and sometimes signifies _needle, _this latter derived from the kanji for _needle _針 (frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.
口;Like several of the first characters we shall learn, the kanji for mouth is a clear pictograph. Since there are no circular shapes in the kanji, the square must be used to depict the circle. [3];mouth;As a primitive, this form also means _mouth. _Any of the range of possible images that the word suggests--an opening or entrance to a cave, a river, a bottle, or even the largest hole in your head--can be used for the primitive meaning.
日;This kanji is intended to be a pictograph of the sun. Recalling what we said in the previous frame about round forms, it is easy to detect the circle and the big smile that characterize our simplest drawings of the sun--like those yellow badges with the words, “Have a nice day!” [4];day,sun,tongue wagging in the mouth;Used as a primitive, this kanji can mean _sun _or _day _or a _tongue wagging in the mouth. _This latter meaning, incidentally, derives from an old character outside the standard list meaning something like “sayeth” and written almost exactly the same, except that the stroke in the middle does not touch the right side (曰, frame 620).
月;This character is actually a picture of the moon, with the two horizontal lines representing the left eye and mouth of the mythical “man in the moon.” (Actually, the Japanese see a hare in the moon, but it is a little farfetched to find one in the kanji.) And one month, of course, is one cycle of the moon. [4];moon flesh,part of the body;As a primitive element, this character can take on the sense of _moon, flesh, _or_ part of the body. _The reasons for the latter two meanings will be explained in a later chapter.
田;Another pictograph, this kanji looks like a bird’s-eye view of a rice field divided into four plots. Be careful when writing this character to get the order of the strokes correct. You will find that it follows perfectly the principle stated in frame 4. [5];brains,rice field;When used as a primitive element, the meaning of _rice field _is most common, but now and again it will take the meaning of _brains_ from the fact that it looks a bit like that tangle of gray matter nestled under our skulls.
目;Here again, if we round out the corners of this kanji and curve the middle strokes upwards and downwards respectively, we get something resembling an eye. [5];eye,eyeball;As a primitive, the kanji keeps its sense of _eye, _or to be more specific, an _eyeball. _When placed in the surroundings of a complex kanji, the primitive will sometimes be turned on its side like this: 罒.
古;The primitive elements that compose this character are ten and mouth, but you may find it easier to remember it as a pictograph of a tombstone with a cross on top. Just think back to one of those graveyards you have visited, or better still, used to play in as a child, with old inscriptions on the tombstones.;old;Used as a primitive element, this kanji keeps its key-word sense of _old, _but care should be taken to make that abstract notion as graphic as possible.
早;This kanji is actually a picture of the first flower of the day, which we shall, in defiance of botanical science, call the sun-flower, since it begins with the element for sun and is held up on a stem with leaves (the pictographic representation of the final two strokes). This time, however, we shall ignore the pictograph and imagine sunflowers with needles for stems, which can be plucked and used to darn your socks.;sunflower,early;As a primitive element, this kanji takes the meaning of _sun-flower, _which was used to make the abstract key word _early _more graphic.
丨;;one;This primitive element is a picture of just what it looks like: a cane or **walking stick**. It carries with it the connotations of lameness and whatever else one associates with the use of a cane. Rarely--but very rarely-- it will be laid on its side. Whenever this occurs, it will always be driven through the middle of some other primitive element. In this way, you need not worry about confusing it with the primitive meanings of _one. _[1]
;;;The meaning of this primitive is obvious from the first moment you look at it, though just what it will be **a drop of** will differ from case to case. The important thing is not to think of it as something insignificant like a “drop in the bucket” but as something so important that it can change the whole picture--like **a drop of** arsenic in your mother-in-law’s coffee. [1]
白;The color white is a mixture of all the primary colors, both for pigments and for light, as we see when a prism breaks up the rays of the sun. Hence, a single drop of sun spells white. [5];white,dove,bird;As a primitive, this character can either retain its meaning of _white_ or take the more graphic meaning of a _white_ _bird_ or _dove._ This latter stems from the fact that it appears at the top of the kanji for _bird,_ which we shall get to later (frame 2091).
丸;We speak of “round numbers,” or “rounding a number off,” meaning to add an insignificant amount to bring it to the nearest 10. For instance, if you add just a wee bit, the tiniest drop, to nine, you end up with a round number. [3];fat man,round baseball player;As a primitive, this element takes the meaning of a _fat man. _Think of a grotesquely _fat man_ whose paunch so covers the plate that he is always getting hit by the pitch. Hence a _round baseball player_ becomes a _fat man_.
寸;This kanji actually stood for a small measurement used prior to the metric system, a bit over an inch in length, and from there acquired the sense of measurement. In the old system, it was one-tenth of a shaku (whose kanji we shall meet in frame 1151). The picture, appropriately, represents one drop of a ten (with a hook!). [3];glued to,glue;As a primitive, we shall use this to mean _glue_ or _glued to_. There is no need to devise a story to remember this, since the primitive will appear so often you would have to struggle hard not to remember it.
博;At the left we have the needle; at the right, the kanji for specialty, plus an extra drop at the top. Think of a Dr. who is a specialist with a needle (an acupuncturist) and let the drop at the top represent the period at the end of Dr.;needle,acupuncturist;The primitive form of this kanji eliminates the _needle_ on the left and gets the meaning of an _acupuncturist_.
卜;;,a drop,walking stick;This is a picture of a **divining rod**_,_ composed of _a drop_ and a _walking stick_, but easy enough to remember as a pictograph. Alternately, you can think of it as a **magic wand**. In either case, it should suggest images of magic or fortune-telling.
;;sunflower,early,needle,needles;Here is our second example of a primitive composed of other primitives but not itself a kanji. At the bottom is the primitive (also a kanji) for _early _or _sunflower_. At the top, a _needle_. Conveniently, **mist** falls _early _in the morning, like little _needles_ of rain, to assure that the _sunflower_ blooms _early _as we have learned it should. [8]
;;eight;Like the four that follow it, this primitive is not a kanji in its own right, though it is said to be derived from 八, the character we learned earlier for _eight_. It always comes at the bottom of the primitive to which it is related. It can mean the **legs** of any kind of **animal**: from a grizzly bear’s paws to an octopus’s tentacles to the spindle shanks of a spider. (The one animal not allowed is our friend homo sapiens, whose legs figure in the next frame.) Even where the term “legs”** **will apply metaphorically to the legs of pieces of furniture, it is best to keep the association with **animal legs**. (You may review frame 6 here.) [2]
儿;;animal,legs;Notice how these **human legs** are somewhat shapelier and more highly evolved than those of the so-called “lower animals.” The one on the left, drawn first, is straight; while the one on the right bends gracefully and ends with a hook. Though they are not likely to suggest the **legs** of any **human **you know, they do have something of the look of someone out for a stroll, especially if you compare them to _animal_ _legs_.
几;;;This primitive gets its name from the full kanji for the **wind** (frame 563). It is called an “enclosure” because other elements are often drawn in the middle of it, though it can also be compressed together so that there is no room for anything in it. The main thing to remember when writing this element is that the second stroke bends outwards, like a gust of **wind **blown from above. In addition to the basic meaning of **wind**_, _we shall also have occasion to use the image of a **weather vane**. The derivation is obvious. [2]
勹;;wind;Like _wind, _the element meaning **bound up** is also an enclosure that can wrap itself around other elements or be compressed when there is nothing to enclose. When this latter happens--usually because there is not enough room-- and it is set on top, the little hook at the end is dropped off, like this: 聴.
;;one;This primitive element always appears at the top of the element to which it is related, and is always attached, or almost attached, to the first horizontal line to come under it. The **horns** can never simply be left hanging in the air. When there is no line available, an extra horizontal stroke (like a _one_) is added. The final kanji of this lesson gives an example.
