How would you say in Japanese? <br /><h1>Please give me one of those.</h1>;<h1>それを一つください。</h1>;33591 33481 45511
How would you say in Japanese? <br /><h1>Please give me two ice cream cones.</h1>;<h1>ソフトクリームを二つください。</h1>;33483 45511
How would you say in Japanese? <br /><h1>The curry and rice is 700 yen.</h1>;<h1>カレーライスは700円です。</h1>;34335 34163 45484 45569
How would you say in Japanese? <br /><h1>This cost quite a bit of money.</h1>;<h1>これはかなり金がかかった。</h1>;33489 33913 35531 39063 45484 45486 45556
How would you say in Japanese? <br /><h1>I'll have this please.</h1>;<h1>これをください。</h1>;33489 45511
How would you say in Japanese? <br /><h1>I have a part-time job on Wednesdays.</h1>;<h1>水曜日はバイトがあります。</h1>;33491 37487 45546 45484 45486 45568
How would you say in Japanese? <br /><h1>What's that?</h1>;<h1>あれは何ですか。</h1>;33493 34859 45484 45569 45570
How would you say in Japanese? <br /><h1>Stay with me.</h1>;<h1>そばにいて下さい。</h1>;34431 45544 38607 45512 45581
How would you say in Japanese? <br /><h1>Please come here.</h1>;<h1>こっちに来て下さい。</h1>;33501 33959 38607 45512 45581
How would you say in Japanese? <br /><h1>There's a handkerchief in my right pocket.</h1>;<h1>右のポケットにハンカチが入っています。</h1>;33503 37087 34327 33667 45544 45486 45512 45525 45568 45581
How would you say in Japanese? <br /><h1>I'll give you this book.</h1>;<h1>この本、あなたにあげます。</h1>;33489 45525 34095 34317 33505 45512 45568
How would you say in Japanese? <br /><h1>There's a book here.</h1>;<h1>ここに本があります。</h1>;33507 34095 45546 45486 45512 45568
How would you say in Japanese? <br /><h1>This book is very interesting.</h1>;<h1>この本はとてもおもしろい。</h1>;33489 45525 34095 33509 45484
How would you say in Japanese? <br /><h1>There are seven bananas.</h1>;<h1>バナナが七本あります。</h1>;34419 34573 34095 45546 45486 45568
How would you say in Japanese? <br /><h1>Please raise your hand if you understand.</h1>;<h1>分かった人は手を上げてください。</h1>;34019 34115 33513 33951 45484 45556 45511 45519 45581
How would you say in Japanese? <br /><h1>I'm hungry.</h1>;<h1>おなかが空きました。</h1>;33515 35023 45486 45568
How would you say in Japanese? <br /><h1>The restaurant was empty.</h1>;<h1>レストランは空いていました。</h1>;34613 35023 45544 45484 45568 45581
How would you say in Japanese? <br /><h1>Are you free on the 1st of next month?</h1>;<h1>来月の一日は空いていますか。</h1>;34815 33795 44045 35023 45544 45484 45525 45568 45581 45570
How would you say in Japanese? <br /><h1>We went to the seaside on Sunday.</h1>;<h1>日曜日は海に行きました。</h1>;33521 34569 33843 45484 45512 45568
How would you say in Japanese? <br /><h1>Our kid's turning seven this year.</h1>;<h1>この子は今年七つになります。</h1>;33489 45525 34477 33839 33523 34277 45484 45512 45568
How would you say in Japanese? <br /><h1>Which of these do you like?</h1>;<h1>この中でどれが好きですか。</h1>;33489 45525 42077 33525 33529 45486 45514 45582 45569 45570
How would you say in Japanese? <br /><h1>Why don't I go.</h1>;<h1>私が行きましょう。</h1>;33527 33843 45486 45568
How would you say in Japanese? <br /><h1>I like wine.</h1>;<h1>私はワインが好きです。</h1>;33527 34437 33529 45484 45486 45569
How would you say in Japanese? <br /><h1>I have a lot of friends.</h1>;<h1>私には友達がたくさんいます。</h1>;33527 33535 36031 45544 45484 45486 45512 45516 45568
How would you say in Japanese? <br /><h1>Let's go home.</h1>;<h1>家に帰ろう。</h1>;34361 33537 45512
How would you say in Japanese? <br /><h1>It's nice out today.</h1>;<h1>今日はいい天気ですね。</h1>;33607 33541 45484 45532 45569
How would you say in Japanese? <br /><h1>There's not much rain this year.</h1>;<h1>今年は雨が少ないです。</h1>;33839 34991 33543 45484 45486 45539 45569
How would you say in Japanese? <br /><h1>I hope it'll be sunny tomorrow.</h1>;<h1>明日は晴れるといいですね。</h1>;34499 33545 45484 45523 45532 45569
How would you say in Japanese? <br /><h1>Look up.</h1>;<h1>上を向いて。</h1>;44287 34385 45511 45581
How would you say in Japanese? <br /><h1>Please open the door.</h1>;<h1>ドアを開けてください。</h1>;33549 44797 45511 45581
How would you say in Japanese? <br /><h1>Please open to page 32.</h1>;<h1>32ページを開いてください。</h1>;34391 34519 45511 45581
How would you say in Japanese? <br /><h1>Open wide, please.</h1>;<h1>口を大きく開けてください。</h1>;33553 34053 44797 45511 45529 45581
How would you say in Japanese? <br /><h1>Close the door properly.</h1>;<h1>ちゃんとドアを閉めてよ。</h1>;37609 33549 33555 45511 45533 45581
How would you say in Japanese? <br /><h1>I don't have time now.</h1>;<h1>今は時間がありません。</h1>;33899 33557 45546 45484 45486 45568
How would you say in Japanese? <br /><h1>Turn around.</h1>;<h1>後ろを向いて。</h1>;33561 34385 45511 45581
How would you say in Japanese? <br /><h1>I'll come home in ten days.</h1>;<h1>十日後に帰ります。</h1>;33765 44045 37181 33537 45512 45568
How would you say in Japanese? <br /><h1>And now for the 9.00 a.m. news.</h1>;<h1>午前9時のニュースです。</h1>;33565 33787 34459 45525 45569
How would you say in Japanese? <br /><h1>From what time is the party tonight?</h1>;<h1>今晩のパーティーは何時からですか。</h1>;33567 34389 34859 33787 45586 45484 45525 45569 45570
How would you say in Japanese? <br /><h1>I'm going to a club Saturday night.</h1>;<h1>土曜日の夜はクラブに行きます。</h1>;33569 37599 40585 33843 45484 45512 45525 45568
How would you say in Japanese? <br /><h1>I go out with my friends on Friday nights.</h1>;<h1>金曜日の夜は友達と出かけます。</h1>;33571 37599 33535 45484 45523 45525 45568
How would you say in Japanese? <br /><h1>The moon looks so beautiful tonight.</h1>;<h1>今夜は月がとてもきれいです。</h1>;34413 33573 33509 45535 45484 45486 45569
How would you say in Japanese? <br /><h1>I was at home last night.</h1>;<h1>きのうの夜は家にいました。</h1>;37599 34361 45544 45484 45512 45525 45568
How would you say in Japanese? <br /><h1>What would you like for supper?</h1>;<h1>夕食には何を食べたいですか。</h1>;34435 34859 33577 45484 45511 45512 45516 45569 45570
