What does this mean? <br /><h1>誰にでも長所と短所がある。</h1>;<h1>Everyone has both strong and weak points.</h1>;34121 45502 43931 39273 45546 45486 45512 45523
What does this mean? <br /><h1>「どうかしたの？」と小さな白いウサギが聞きました。</h1>;<h1>"What's the matter?" asked the little white rabbit.</h1>;42947 34067 33995 37945 33909 45486 45523 45525 45568
What does this mean? <br /><h1>「信用して」と彼は言った。</h1>;<h1>"Trust me," he said.</h1>;39461 34067 34179 34177 45484 45556 45523 45581
What does this mean? <br /><h1>「これが探していたものだ」と彼は叫んだ。</h1>;<h1>"This is what I was looking for!" he exclaimed.</h1>;33489 34035 45544 34179 43713 45480 45484 45486 45552 45519 45523 45581
What does this mean? <br /><h1>「これはとてもおもしろそうだね」とひろしが言います。</h1>;<h1>"This looks pretty interesting," Hiroshi says.</h1>;33489 33509 33685 34177 45480 45484 45486 45523 45532 45568
What does this mean? <br /><h1>お願いだから泣かないで。</h1>;<h1>Please don't cry.</h1>;34025 45586 36541 45480 45549 45514 45582 45585
What does this mean? <br /><h1>授業は八時三十分から始まるから。</h1>;<h1>Class doesn't begin until eight-thirty.</h1>;34181 33743 33787 33957 33765 34285 45586 33799 45586 45484 45585
What does this mean? <br /><h1>家に帰りましょうか。</h1>;<h1>Why don't we go home?</h1>;34361 33537 45512 45568 45570
What does this mean? <br /><h1>１０年は待つには長い時間だ。</h1>;<h1>Ten years is a long time to wait.</h1>;33797 33703 34211 33557 45480 45484 45512 45516
What does this mean? <br /><h1>１００万人の人々がその戦争で命を落とした。</h1>;<h1>One million people lost their lives in the war.</h1>;34267 34115 35299 36009 40325 37083 45486 45553 45511 45514 45525 45582
What does this mean? <br /><h1>驚かない所をみると知ってたのね。</h1>;<h1>Seeing that you're not surprised, I think you must have known.</h1>;36835 34119 45549 45552 45511 45519 45523 45525 45532
What does this mean? <br /><h1>２、３年でフランス語に熟達するのはきわめて難しい。</h1>;<h1>It's quite difficult to master French in 2 or 3 years.</h1>;33797 34067 33733 45484 45512 45514 45519 45525 45582
What does this mean? <br /><h1>２、３ページの英語を訳すのに２時間以上もかかりました。</h1>;<h1>It took me more than two hours to translate a few pages of English.</h1>;34391 34479 36335 33557 35721 39063 45485 45511 45512 45519 45525 45568
What does this mean? <br /><h1>１１時になっているよ。</h1>;<h1>It is already eleven.</h1>;33787 34277 45544 45512 45533 45581
What does this mean? <br /><h1>何時ですか。</h1>;<h1>What time do you have?</h1>;34859 33787 45569 45570
What does this mean? <br /><h1>今日はとても暑い。</h1>;<h1>It is very hot today.</h1>;33607 33509 33661 45484
What does this mean? <br /><h1>彼は約束を破った。</h1>;<h1>He broke his word.</h1>;34179 36265 43429 45484 45556 45511
What does this mean? <br /><h1>警察を呼んで！</h1>;<h1>Call the police!</h1>;36669 34149 45511 45514 45582
What does this mean? <br /><h1>雨が降っている。</h1>;<h1>It is raining.</h1>;34991 36829 45544 45486 45581
What does this mean? <br /><h1>もっと時間が必要だ。</h1>;<h1>I need more time.</h1>;33623 33557 34903 45480 45486
What does this mean? <br /><h1>ここで写真を撮らないでください。</h1>;<h1>Please do not take photos here.</h1>;33507 35151 36721 45549 45511 45514 45582
What does this mean? <br /><h1>この天気とは気長に付き合っていくしかない。</h1>;<h1>You have to learn to put up with this weather.</h1>;33490 45525 33541 41601 45484 45551 45512 45519 45523 45530 45581
What does this mean? <br /><h1>私は気が短いし、口も軽い男だ。</h1>;<h1>I'm short-tempered, and a loose-tongued man.</h1>;33527 34017 33939 33553 34261 33593 45480 45484 45485 45486
What does this mean? <br /><h1>汚い行為の報いは必ず自分に返ってくる。</h1>;<h1>What goes around comes around.</h1>;34041 42353 35005 33977 39977 45484 45512 45525 45581
What does this mean? <br /><h1>肩慣らしには丁度いいかも。</h1>;<h1>It could be just right for a warm up.</h1>;34235 43673 45484 45512 45516
What does this mean? <br /><h1>虫歯を侮ると命に係わる場合もあるのです。</h1>;<h1>Making light of cavities can be a matter of life and death.</h1>;43727 40325 33611 45546 45485 45511 45512 45519 45523 45525 45569
What does this mean? <br /><h1>馬鹿が移るまえにそのような宗教に関わらんほうがいい。</h1>;<h1>You should stay away from cults like that before you turn into a moron.</h1>;37429 35403 34231 44413 43009 45486 45512 45519 45519
What does this mean? <br /><h1>どこの関節がはずれたの？</h1>;<h1>Which joint did you dislocate?</h1>;34057 40277 45486 45552 45525
What does this mean? <br /><h1>無関係の人を殺るな！</h1>;<h1>Don't kill off bystanders!</h1>;40563 34115 45511 45525
