嗚呼	ああ	Ah!;Oh!;Alas!
相	あい	together;mutually;fellow
愛	あい	love
相変わらず	あいかわらず	as ever;as usual;the same
挨拶	あいさつ	greeting;salutation
愛情	あいじょう	love;affection
愛する	あいする	to love
合図	あいず	sign;signal
愛想	あいそ	civility;courtesy;compliments;sociability;graces
相対	あいたい	confrontation;facing;between ourselves;no third party;tete-a-tete
間	あいだ	space;interval
間	あいだ	space;interval
間	あいだ	space;interval
間柄	あいだがら	relation(ship)
相手	あいて	companion;partner;company
愛憎	あいにく	likes and dislikes
合間	あいま	interval
曖昧	あいまい	vague;ambiguous
合う	あう	to fit;to suit;to agree with;to match;to be correct;to be profitable
会う	あう	to meet;to interview
遭う	あう	to meet;to encounter (undesirable nuance)
敢えて	あえて	dare (to do);challenge (to do)
青	あお	blue;green;green light
青い	あおい	blue;pale;green;unripe;inexperienced
仰ぐ	あおぐ	to look up (to);to respect;to depend on;to ask for;to seek;to revere;to drink;to take
青白い	あおじろい	pale;pallid
垢	あか	dirt;filth
亜科	あか	suborder;subfamily
赤い	あかい	red
銅	あかがね	copper
証	あかし	proof;evidence
赤字	あかじ	deficit;go in the red
明かす	あかす	to pass;spend;to reveal;to divulge
赤ちゃん	あかちゃん	baby;infant
明白	あからさま	obvious;overt;plainly;frankly
赤らむ	あからむ	to become red;to redden;to blush
明かり	あかり	lamplight;light (in general);brightness
明るい	あかるい	bright;cheerful
赤ん坊	あかんぼう	baby
上がり	あがり	1.  slope;advance income;crop yield;ascent;rise;advance;death;spinning;completion;stop;finish;after (rain);ex (official  etc.); 2.  freshly-drawn green tea (esp. in sushi shops)
上がる	あがる	to enter;to go up;to rise;to climb up;to advance;to appreciate;to be promoted;to improve;to call on;to be offered;to accrue;to be finished;to come to (expenses);to go bankrupt;to begin spinning (cocoons);to be caught;to get ruffled;to eat;to drink;to die;
秋	あき	autumn;fall
明き	あき	room;time to spare;emptiness;vacant
空き	あき	room;time to spare;emptiness;vacant
商人	あきうど	trader;shopkeeper;merchant
空間	あきま	vacancy;room for rent or lease
明らか	あきらか	obvious;evident;clear;plain
諦め	あきらめ	resignation;acceptance;consolation
諦める	あきらめる	to give up;to abandon
飽きる	あきる	to get tired of;to lose interest in;to have enough
呆れる	あきれる	to be amazed;to be shocked
悪	あく	evil;wickedness
開く	あく	to be open
空く	あく	to become empty;to be less crowded
空く	あく	to become empty;to be less crowded
灰	あく	puckery juice
握手	あくしゅ	handshake
	あくどい	1.  gaudy;showy;excessive; 2.  vicious
悪日	あくび	unlucky day
悪魔	あくま	devil;demon;fiend;Satan;evil spirit
飽くまで	あくまで	to the end;to the last;stubbornly;persistently
明くる	あくる	next;following
明け方	あけがた	dawn
開ける	あける	to open
明ける	あける	to dawn;to become daylight
上げる	あげる	to give;to raise;to elevate;to fly (kites);to praise;to increase;to advance;to promote;to vomit;to usher in;to admit;to send (to school);to offer;to present;to leave with;to finish;to arrange (expenses);to observe;to perform;to quote;to mention;to bear (a
挙げる	あげる	to raise;to fly;to give (an example)
憧れ	あこがれ	yearning;longing;aspiration
憧れる	あこがれる	to long for;to yearn after;to admire
顎	あご	chin
麻	あさ	flax;linen;hemp
朝	あさ	morning
浅い	あさい	shallow;superficial
明後日	あさって	day after tomorrow
明後日	あさって	day after tomorrow
朝寝坊	あさねぼう	oversleeping;late riser
浅ましい	あさましい	wretched;miserable;shameful;mean;despicable;abject
字	あざ	section of village
字	あざ	section of village
欺く	あざむく	to deceive
鮮やか	あざやか	vivid;clear;brilliant
あざ笑う	あざわらう	to sneer at;to ridicule
足	あし	foot;pace;gait;leg
足	あし	foot;pace;gait;leg
足跡	あしあと	footprints
悪しからず	あしからず	don't take me wrong  but...;I'm sorry
明日	あした	tomorrow
明日	あした	tomorrow
足元	あしもと	1.  at one's feet;underfoot; 2.  gait;pace;step
味	あじ	flavor;taste
味	あじ	flavor;taste
味わい	あじわい	flavour;meaning;significance
味わう	あじわう	to taste;to savor;to relish
預かる	あずかる	to keep in custody;to receive on deposit;to take charge of
預ける	あずける	to give into custody;to leave (a child) in the care of;to entrust;to deposit
東	あずま	east;Eastern Japan
汗	あせ	sweat;perspiration
焦る	あせる	to be in a hurry;to be impatient
焦る	あせる	to be in a hurry;to be impatient
彼処	あそこ	1.  (uk) there;over there;that place; 2.  (X) (col) genitals
遊び	あそび	playing
値	あたい	value;price;cost;worth;merit
値	あたい	value;price;cost;worth;merit
値する	あたいする	to be worth;to deserve;to merit
与える	あたえる	to give;to present;to award
私	あたし	I (fem)
暖かい	あたたかい	warm;mild;genial
暖まる	あたたまる	to warm oneself;to sun oneself;to warm up;to get warm
暖める	あたためる	to warm;to heat
頭	あたま	head
頭	あたま	head
頭	あたま	head
新しい	あたらしい	new
当たり	あたり	hit;success;reaching the mark;per ...;vicinity;neighborhood
辺り	あたり	(in the) neighbourhood;vicinity;nearby
当たり前	あたりまえ	usual;common;ordinary;natural;reasonable;obvious
当たる	あたる	to be hit;to be successful;to face (confront);to lie (in the direction of);to undertake;to treat;to be equivalent to;to apply to;to be applicable;to be assigned
他人	あだびと	another person;unrelated person;outsider;stranger
彼方此方	あちこち	here and there
彼方	あちら	1.  there;yonder;that
彼方此方	あちらこちら	here and there
悪化	あっか	deterioration;growing worse;aggravation;degeneration;corruption
呆気ない	あっけない	not enough;too quick (short  long  etc.)
悪口	あっこう	abuse;insult;slander;evil speaking
	あっさり	easily;readily;quickly
圧縮	あっしゅく	compression;condensation;pressure
	あっち	over there
圧迫	あっぱく	pressure;coercion;oppression
厚い	あつい	cordial;kind;warm(hearted);thick;deep
暑い	あつい	hot;warm
熱い	あつい	hot (thing)
扱い	あつかい	treatment;service
扱う	あつかう	to handle;to deal with;to treat
厚かましい	あつかましい	impudent;shameless;brazen
集まり	あつまり	gathering;meeting;assembly;collection
集まる	あつまる	to gather;to collect;to assemble
集める	あつめる	to collect;to assemble
誂える	あつらえる	to give an order;to place an order
圧力	あつりょく	stress;pressure
当て	あて	object;aim;end;hopes;expectations
宛	あて	addressed to
当て字	あてじ	phonetic-equivalent character;substitute character
宛名	あてな	address;direction
当てはまる	あてはまる	to apply (a rule)
当てはめる	あてはめる	to apply;to adapt
宛てる	あてる	to address
当てる	あてる	to hit;to apply a patch
後	あと	after;behind;later;rear;remainder;successor
